w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,snuggle,atnton,left,5,,,,,,,,,,,,,1,20,100,56,,,,,,,,,,,,,,,,,,,,,,,,,None,197.99805069500871,None,,,,,,,196.97458661001292,None,196.97458661001292,None,left,1,1.0220638169994345,196.97458661001292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,blackboard,chalk,right,1,,,,,,,,,,,,,1,21,101,16,,,,,,,,,,,,,,,,,,,,,,,,,None,199.2873524660099,None,,,,,,,198.5012893420062,None,198.5012893420062,None,right,1,0.7846565830113832,198.5012893420062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,disagreement,blanket,right,2,,,,,,,,,,,,,1,22,102,36,,,,,,,,,,,,,,,,,,,,,,,,,None,200.80381335900165,None,,,,,,,199.79062953800894,None,199.79062953800894,None,right,1,1.0118001439986983,199.79062953800894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,mug,beer,right,1,,,,,,,,,,,,,1,23,103,7,,,,,,,,,,,,,,,,,,,,,,,,,None,201.9705375170015,None,,,,,,,201.30739531801373,None,201.30739531801373,None,right,1,0.6617097470007138,201.30739531801373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,explanation,answer,right,1,,,,,,,,,,,,,1,24,104,3,,,,,,,,,,,,,,,,,,,,,,,,,None,203.10092840000289,None,,,,,,,202.4741908750002,None,202.4741908750002,None,right,1,0.6252905149885919,202.4741908750002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,ballet,fgor,left,5,,,,,,,,,,,,,1,25,105,60,,,,,,,,,,,,,,,,,,,,,,,,,None,204.41545258300903,None,,,,,,,203.604031520008,None,203.604031520008,None,left,1,0.8100122259929776,203.604031520008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,harmful,cownr,left,5,,,,,,,,,,,,,1,26,106,61,,,,,,,,,,,,,,,,,,,,,,,,,None,205.67474937300722,None,,,,,,,204.91919360900647,None,204.91919360900647,None,left,1,0.7538708650099579,204.91919360900647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,uneven,dival,left,5,,,,,,,,,,,,,1,27,107,55,,,,,,,,,,,,,,,,,,,,,,,,,None,206.81613921500684,None,,,,,,,206.17783833701105,None,206.17783833701105,None,left,1,0.6368564399890602,206.17783833701105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,saucer,uttac,left,5,,,,,,,,,,,,,1,28,108,57,,,,,,,,,,,,,,,,,,,,,,,,,None,207.91756172101304,None,,,,,,,207.31961249800224,None,207.31961249800224,None,left,1,0.5965229409921449,207.31961249800224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,cauliflower,broccoli,right,1,,,,,,,,,,,,,1,29,109,12,,,,,,,,,,,,,,,,,,,,,,,,,None,209.12817143100256,None,,,,,,,208.4213555710012,None,208.4213555710012,None,right,1,0.7054042749950895,208.4213555710012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
