w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.71052648499608,None,right,0,11.828323337991606,22.71052648499608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
fite,crack,left,4,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,34.558064602009836,None,34.558064602009836,None,left,1,6.572687377993134,34.558064602009836,None,None,41.13254993601004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
ash,ashtray,right,1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,41.6353322549985,None,41.6353322549985,None,right,1,1.930210596008692,41.6353322549985,None,None,43.56680810500984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
mick,lofy,left,3,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,44.069229770000675,None,44.069229770000675,None,left,1,3.0893957579974085,44.069229770000675,None,None,47.15987930299889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
whistle,england,right,2,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,47.66265180100163,None,47.66265180100163,None,right,1,2.567395646008663,47.66265180100163,None,None,50.231342646002304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
sun,cepy,left,5,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,50.73425369700999,None,50.73425369700999,None,left,1,2.4443194439954823,50.73425369700999,None,None,53.17986475600628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.68050153199874,None,right,4.54029575799359,53.68050153199874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,58.22157845500624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
,,,,seem,bitch,right,2,,,,,,,,,,,,,0,0,0,34,,,,,,,,,,,,,,,,,,,,,,,,,None,62.03765757000656,None,,,,,,,58.751263047000975,None,58.751263047000975,None,right,1,3.284608150992426,58.751263047000975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
,,,,perform,average,right,2,,,,,,,,,,,,,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,None,65.73943778099783,None,,,,,,,62.550334302010015,None,62.550334302010015,None,right,1,3.187763554000412,62.550334302010015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,m,2021_Apr_09_1727,ldt_en_hi,2021.1.3,1445.3039177702797,
