w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,restresp.rt,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,disbelieve,believe,right,1,,,,,,,,,,,,,0,47,47,8,,,,,,,,,,,,,,,,,,,,,,,,,None,237.700999246008,None,,,,,,,236.84142978700402,None,236.84142978700402,None,right,1,0.8580381809879327,236.84142978700402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,mute,bygknner,left,5,,,,,,,,,,,,,0,48,48,65,,,,,,,,,,,,,,,,,,,,,,,,,None,239.15977429600025,None,,,,,,,238.20481421600562,None,238.20481421600562,None,left,1,0.9534311850002268,238.20481421600562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,riject,farm,left,4,,,,,,,,,,,,,0,49,49,66,,,,,,,,,,,,,,,,,,,,,,,,,None,240.60178108500259,None,,,,,,,239.67147600000317,None,239.67147600000317,None,left,1,0.9287524719984503,239.67147600000317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,blackboard,chalk,right,1,,,,,,,,,,,,,0,50,50,16,,,,,,,,,,,,,,,,,,,,,,,,,None,242.65610329400806,None,,,,,,,241.10555117300828,None,241.10555117300828,None,right,1,1.549029228001018,241.10555117300828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,adverb,backpack,right,2,,,,,,,,,,,,,0,51,51,25,,,,,,,,,,,,,,,,,,,,,,,,,None,244.513488771001,None,,,,,,,243.15943907199835,None,243.15943907199835,None,right,1,1.3525014509941684,243.15943907199835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,corpse,bigan,left,5,,,,,,,,,,,,,0,52,52,64,,,,,,,,,,,,,,,,,,,,,,,,,None,246.73345337400679,None,,,,,,,245.01730032700289,None,245.01730032700289,None,left,1,1.7143852610024624,245.01730032700289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,lobster,crab,right,1,,,,,,,,,,,,,0,53,53,19,,,,,,,,,,,,,,,,,,,,,,,,,None,249.1700998239976,None,,,,,,,247.23653630600893,None,247.23653630600893,None,right,1,1.932043719003559,247.23653630600893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,mabapine,environment,left,4,,,,,,,,,,,,,0,54,54,77,,,,,,,,,,,,,,,,,,,,,,,,,None,250.8791635360103,None,,,,,,,249.67414301401004,None,249.67414301401004,None,left,1,1.2034555519931018,249.67414301401004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,aczreis,duty,left,4,,,,,,,,,,,,,0,55,55,67,,,,,,,,,,,,,,,,,,,,,,,,,None,253.1238902440091,None,,,,,,,251.38224539300427,None,251.38224539300427,None,left,1,1.740114286003518,251.38224539300427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,contreqt,bcer,left,3,,,,,,,,,,,,,0,56,56,49,,,,,,,,,,,,,,,,,,,,,,,,,None,257.53225242999906,None,,,,,,,253.6274562840117,None,253.6274562840117,None,left,1,3.903213294004672,253.6274562840117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
