w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.022371760001988,None,right,0,43.33807026199065,24.022371760001988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
sun,cepy,left,5,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,67.40927154500969,None,67.40927154500969,None,left,1,1.977229823009111,67.40927154500969,None,None,69.38811655899917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
ash,ashtray,right,1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,69.89054736300022,None,69.89054736300022,None,right,1,6.280466748008621,69.89054736300022,None,None,76.17240465800569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
mick,lofy,left,3,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,76.67450774701138,None,76.67450774701138,None,left,1,5.241956065001432,76.67450774701138,None,None,81.9177608480095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
whistle,england,right,2,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,82.42024740501074,None,82.42024740501074,None,right,1,4.15167559600377,82.42024740501074,None,None,86.57325353700435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
fite,crack,left,4,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,87.07545856400975,None,87.07545856400975,None,left,1,1.4624100259970874,87.07545856400975,None,None,88.539214643999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.04003550500784,None,right,18.541195785001037,89.04003550500784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,107.58227824200003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,antidote,averake,left,5,,,,,,,,,,,,,0,0,0,58,,,,,,,,,,,,,,,,,,,,,,,,,None,111.68112460400152,None,,,,,,,108.10894274100428,None,108.10894274100428,None,right,0,3.570119500000146,108.10894274100428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,frugtry,cheat,left,4,,,,,,,,,,,,,0,1,1,70,,,,,,,,,,,,,,,,,,,,,,,,,None,115.0832339740009,None,,,,,,,112.1839650059992,None,112.1839650059992,None,left,1,2.897891921005794,112.1839650059992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,seem,bitch,right,2,,,,,,,,,,,,,0,2,2,34,,,,,,,,,,,,,,,,,,,,,,,,,None,118.68951517100504,None,,,,,,,115.59548413399898,None,115.59548413399898,None,right,1,3.0926531379955122,115.59548413399898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,valuabzr,additkos,left,3,,,,,,,,,,,,,0,3,3,42,,,,,,,,,,,,,,,,,,,,,,,,,None,122.04031053499784,None,,,,,,,119.19827148600598,None,119.19827148600598,None,left,1,2.840670271005365,119.19827148600598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,caklqblower,fashion,left,4,,,,,,,,,,,,,0,4,4,79,,,,,,,,,,,,,,,,,,,,,,,,,None,125.90555609299918,None,,,,,,,122.55226801001118,None,122.55226801001118,None,left,1,3.351936780993128,122.55226801001118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,bow,arrow,right,1,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,128.37288629999966,None,,,,,,,126.40776610800822,None,126.40776610800822,None,right,1,1.9637466040003346,126.40776610800822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,rug,carpet,right,1,,,,,,,,,,,,,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,,None,130.74437670200132,None,,,,,,,128.87579642800847,None,128.87579642800847,None,right,1,1.86696510699403,128.87579642800847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,mustache,beard,right,1,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,None,134.2478707679984,None,,,,,,,131.24708278400067,None,131.24708278400067,None,right,1,2.9994219719956163,131.24708278400067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,inquire,blush,right,2,,,,,,,,,,,,,0,8,8,39,,,,,,,,,,,,,,,,,,,,,,,,,None,137.2192108140007,None,,,,,,,134.75024292300805,None,134.75024292300805,None,right,1,2.4675924300099723,134.75024292300805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,inventor,leab,left,5,,,,,,,,,,,,,0,9,9,54,,,,,,,,,,,,,,,,,,,,,,,,,None,140.94674177600245,None,,,,,,,137.72214994599926,None,137.72214994599926,None,left,1,3.22321498200472,137.72214994599926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,busg,data,left,4,,,,,,,,,,,,,0,10,10,78,,,,,,,,,,,,,,,,,,,,,,,,,None,143.27799432400207,None,,,,,,,141.44917075400008,None,141.44917075400008,None,left,1,1.8271863400004804,141.44917075400008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,policeman,cop,right,1,,,,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,None,145.70305503800046,None,,,,,,,143.7813358780113,None,143.7813358780113,None,right,1,1.9203118870063918,143.7813358780113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,cricket,blow,right,2,,,,,,,,,,,,,0,12,12,37,,,,,,,,,,,,,,,,,,,,,,,,,None,147.6604118910036,None,,,,,,,146.20561110400013,None,146.20561110400013,None,right,1,1.4534042660088744,146.20561110400013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,disown,atom,right,2,,,,,,,,,,,,,0,13,13,21,,,,,,,,,,,,,,,,,,,,,,,,,None,151.06162815100106,None,,,,,,,148.16311806500016,None,148.16311806500016,None,right,1,2.8971028340019984,148.16311806500016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,data,beaufifsl,left,5,,,,,,,,,,,,,0,14,14,63,,,,,,,,,,,,,,,,,,,,,,,,,None,154.2707728009991,None,,,,,,,151.5645550420013,None,151.5645550420013,None,left,1,2.704800952997175,151.5645550420013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,disagreement,blanket,right,2,,,,,,,,,,,,,0,15,15,36,,,,,,,,,,,,,,,,,,,,,,,,,None,156.65836898201087,None,,,,,,,154.7737764140038,None,154.7737764140038,None,right,1,1.8831953360058833,154.7737764140038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,adorable,bckpwck,left,5,,,,,,,,,,,,,0,16,16,59,,,,,,,,,,,,,,,,,,,,,,,,,None,159.8796257560025,None,,,,,,,157.1608339259983,None,157.1608339259983,None,left,1,2.7174092500063125,157.1608339259983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,mabapine,environment,left,4,,,,,,,,,,,,,0,17,17,77,,,,,,,,,,,,,,,,,,,,,,,,,None,163.2919090110081,None,,,,,,,160.38265105000755,None,160.38265105000755,None,left,1,2.907869111004402,160.38265105000755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,mug,beer,right,1,,,,,,,,,,,,,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,None,164.70387781001045,None,,,,,,,163.7943811849982,None,163.7943811849982,None,right,1,0.9081154849991435,163.7943811849982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
,,,,harmful,cownr,left,5,,,,,,,,,,,,,0,19,19,61,,,,,,,,,,,,,,,,,,,,,,,,,None,166.68130691400438,None,,,,,,,165.20662406399788,None,165.20662406399788,None,left,1,1.473286915992503,165.20662406399788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,00,m,2021_Apr_09_1709,ldt_en_hi,2021.1.3,1322.4639122839803,
