w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,riject,farm,left,4,,,,,,,,,,,,,0,65,65,66,,,,,,,,,,,,,,,,,,,,,,,,,None,165.63043494400335,None,,,,,,,163.97559408500092,None,163.97559408500092,None,left,1,1.6532839520077687,163.97559408500092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,actress,actor,right,1,,,,,,,,,,,,,0,66,66,0,,,,,,,,,,,,,,,,,,,,,,,,,None,166.86960539099528,None,,,,,,,166.13472810400708,None,166.13472810400708,None,right,1,0.7332950170093682,166.13472810400708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,adorable,bckpwck,left,5,,,,,,,,,,,,,0,67,67,59,,,,,,,,,,,,,,,,,,,,,,,,,None,168.39137999199738,None,,,,,,,167.3739908090065,None,167.3739908090065,None,left,1,1.0157598110090476,167.3739908090065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,stpactin,fear,left,4,,,,,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,,None,169.94406992199947,None,,,,,,,168.89560048500425,None,168.89560048500425,None,left,1,1.0468625079956837,168.89560048500425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,anteater,belt,right,2,,,,,,,,,,,,,0,69,69,33,,,,,,,,,,,,,,,,,,,,,,,,,None,171.67442140600178,None,,,,,,,170.44835921999766,None,170.44835921999766,None,left,0,1.2244826850073878,170.44835921999766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,exdlavstion,cloth,left,4,,,,,,,,,,,,,0,70,70,71,,,,,,,,,,,,,,,,,,,,,,,,,None,173.7069441700005,None,,,,,,,172.17824993899558,None,172.17824993899558,None,left,1,1.5270608959981473,172.17824993899558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,busg,data,left,4,,,,,,,,,,,,,0,71,71,78,,,,,,,,,,,,,,,,,,,,,,,,,None,175.24769851799647,None,,,,,,,174.21069889199862,None,174.21069889199862,None,left,1,1.0353827140061185,174.21069889199862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,rug,carpet,right,1,,,,,,,,,,,,,0,72,72,15,,,,,,,,,,,,,,,,,,,,,,,,,None,176.8380681599956,None,,,,,,,175.7520644670003,None,175.7520644670003,None,right,1,1.0843825369956903,175.7520644670003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,saucer,uttac,left,5,,,,,,,,,,,,,0,73,73,57,,,,,,,,,,,,,,,,,,,,,,,,,None,178.09394636000798,None,,,,,,,177.3422615120071,None,177.3422615120071,None,left,1,0.7501031650026562,177.3422615120071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,mug,beer,right,1,,,,,,,,,,,,,0,74,74,7,,,,,,,,,,,,,,,,,,,,,,,,,None,179.34593880199827,None,,,,,,,178.59812913600763,None,178.59812913600763,None,right,1,0.7462106029997813,178.59812913600763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
